Страна,Столица,Картинка,Флаг
Сьерра-Леоне,Фритаун,freetown.jpg,https://flagcdn.com/w320/sl.png
Таджикистан,Душанбе,dushanbe.jpg,https://flagcdn.com/w320/tj.png
Таиланд,Бангкок,bangkok.jpg,https://flagcdn.com/w320/th.png
Тайвань,Tайбей,taibei.jpg,
Танзания,Додома,dodoma.jpg,https://flagcdn.com/w320/tz.png
Того,Ломе,lome.jpg,https://flagcdn.com/w320/tg.png
Тонга,Нукуалофа,nukualofa.jpg,https://flagcdn.com/w320/to.png
Тринидад и Тобаго,Порт-оф-Спейн,port-of-spain.jpg,
Тувалу,Фунафути,funafuti.jpg,
Тунис,Tуниc,tunis.jpg,https://flagcdn.com/w320/tn.png
Туркмения,Aшхабад,ashgabat.jpg,https://flagcdn.com/w320/tm.png
Турция,Анкара,ankara.jpg,https://flagcdn.com/w320/tr.png
Уганда,Kампала,kampala.jpg,https://flagcdn.com/w320/ug.png
Узбекистан,Tашкент,tashkent.jpg,https://flagcdn.com/w320/uz.png
Украина,Kиев,kiev.jpg,https://flagcdn.com/w320/ua.png
Уругвай,Mонтевидео,montvideo.jpg,https://flagcdn.com/w320/uy.png
Фарерские острова,Tорсхавн,torskhavn.jpg,
Фиджи,Сува,suva.jpg,https://flagcdn.com/w320/fj.png
Филиппины,Манила,manila.jpg,https://flagcdn.com/w320/ph.png
Финляндия,Хельсинки,helsinki.jpg,https://flagcdn.com/w320/fi.png
Франция,Париж,paris.jpg,https://flagcdn.com/w320/fr.png
Хорватия,Загреб,zagreb.jpg,https://flagcdn.com/w320/hr.png
ЦАР,Банги,bangi.jpg,https://flagcdn.com/w320/cf.png
Чад,Нджаменa,ndjamena.jpg,https://flagcdn.com/w320/td.png
Черногория,Подгорица,podgorica.jpg,https://flagcdn.com/w320/me.png
Чехия,Прага,praha.jpg,https://flagcdn.com/w320/cz.png
Чили,Сантьяго,santiago.jpg,https://flagcdn.com/w320/cl.png
Швейцария,Берн,bern.jpg,https://flagcdn.com/w320/ch.png
Швеция,Стокгольм,stockholm.jpg,https://flagcdn.com/w320/se.png
